Name,Fax,CHx,SLx,Faz,CHz,SLz
R.J. Alvarez,-6,-8.9,3.5,7.8,-1.6,-1
Angel Nesbitt,-7.1,-7.7,1.5,8.1,4.5,-0.3
Chris Beck,-6.5,-8.3,2.6,7.7,3.6,1.9
Drew VerHagen,,-4.1,,,5.2,
Eddie Butler,-5.5,-7.6,1.4,9.1,4.2,-0.1
Daniel Norris,4.4,5.9,-2,10.5,3.7,-0.6
Sam Tuivailala,-5,,1.1,9.3,,2.1
Alec Asher,-3.5,-4.9,2.5,10.6,9.1,3
Chad Smith,-4.7,,2,7.2,,1.7
Carl Edwards Jr.,0.4,-6.4,,9.1,7.7,
Nick Goody,-4.2,-6.4,4.4,10.8,8,-0.3
Kyle Barraclough,-3.5,-7,5.1,9.9,8,-0.8
Tyler Duffey,-3.5,-8.8,-1.2,8.1,4.2,-2
Tim Cooney,5.4,9.7,0,9.3,7.7,-0.1
Roberto Osuna,-3.9,-7.9,2.7,10.8,7.1,3.2
Tyler Wagner,-3.1,-5.2,,8.1,3.2,
Jon Moscot,-6,-7.6,3.1,8.1,5.6,-0.9
Ian Thomas,5.9,8.9,,10,5.6,
Scott Oberg,-4.5,-7.5,2.7,7,3.3,-1.2
Ryan Dull,-2.9,-3.2,4,8.3,0.1,0
Raudel Lazo,7.3,9.7,-1.1,8.9,6,-1.8
Lance McCullers Jr.,-3.1,-8,3.8,7.8,2.4,-0.2
Miguel Almonte,-6.4,-10,,8.3,2.7,
Dario Alvarez,6.9,,-4.2,7.4,,1.8
Brian Johnson,3.4,6.4,-5.1,9.7,4.2,0.6
Frankie Montas,-2.6,-6.7,4.3,9.8,8.5,2.9
Kyuji Fujikawa,-4.8,,,11.5,,
Adam Conley,10.4,12.4,3,8.5,6,2.8
Jose Valdez,-5,-6.7,3.6,9.4,5.9,-0.3
Jorge Lopez,-3.8,-8.3,,10,4,
Chi Chi Gonzalez,-1.1,-6.5,2,6.9,1.3,2.8
Keone Kela,-2.4,-5.7,,10.5,7.6,
Severino Gonzalez,-4.2,-7.3,6.6,7.8,2,-0.4
Jonathan Aro,-5.2,-10.1,2.6,10.4,5.3,5.1
Tyler Olson,3.8,7.5,-8.4,8.3,2.3,-1.3
Buck Farmer,-5.6,-7.9,2.3,8.5,1.1,-0.4
Michael Lorenzen,-6.4,-7.4,1.3,9.2,6.1,2.1
Zack Godley,-5,-4.6,,8.5,2.1,
Nick Rumbelow,-2.7,-6,,10.6,4.9,
Jon Gray,-5.9,-5.5,1.1,8.6,7.1,3.9
Corey Knebel,-2.8,-9.9,-4.2,10.1,0.9,11
Kyle Crockett,9.5,10.4,-1.4,5.6,-0.5,-2.8
Trevor Gott,-8.7,-8.7,7.5,3.6,2.9,-8.8
Silvino Bracho,-2.2,-2.4,4.6,9.4,4.6,0.7
Matt Marksberry,4.5,8.2,7.2,9.8,7.7,11
Andrew Heaney,12.5,11.1,12.7,4.4,3.8,6.3
Matthew Boyd,6.3,6.9,-0.5,11,9.4,-0.4
Marco Gonzales,6.6,11,,10.9,4.1,
Kendall Graveman,-4.1,-6.5,0,7.7,2.1,1
Dalier Hinojosa,-3.1,-5.2,3,10.9,6.9,0.7
Miguel Castro,-9.2,-9.7,6.6,7.6,2.8,-1.1
Luis Severino,-4.6,-9.2,2.8,9.4,5.1,2.6
Carlos Rodon,6.8,9.2,-1.9,8.9,2.7,2
Aaron Nola,-7.4,-7.1,,6.1,0.4,
Brandon Finnegan,,8.3,-3.7,,4.8,-0.1
Jacob Lindgren,3.8,,-1.9,3.3,,-4.1
Raisel Iglesias,-6.9,-8.7,5.6,7.4,2.6,-0.5
Brian Ellington,-8.4,-10.3,,7.9,3.8,
